user,location,text
tecnofanatico,,iPhone SE ya está aquí. https://t.co/FjQr1JU0Ro. #iPhoneSE #iPhoneSE2020
jais_7,"ÜT: 39.130476,-76.905142",Quiero el rojo #iPhoneSE https://t.co/BmF96QBdw8
ProfeJuAntonio,"Arica, Chile",Todos los créditos a Jon 😱 el primero en confirmar la fecha oficial de salida de este nuevo #iPhoneSE https://t.co/Ym2TH2S3sG
pedroaznar,"Barcelona, España","#iPhoneSE (segunda generación, 2020) muy buenas lecciones aprendidas:

- Diseño que Apple domina, Touch ID como alt… https://t.co/RxQM6kiZJq"
liderAndroide,,"Aquí con mi #iPhoneSE 2020 no me digan que un iPhone 8 rojo .... ENVIDIOSOS 😂🤣

Nuevo #iPhone : ES LO MISMO, PERO D… https://t.co/6chSK7KB2j"
RioT_PL,"Katowice, Poland",Aaale nadal do #iPhoneSE 😂 https://t.co/u9S1H3PvxE
JacobElVeneco,Latinoamerica,"'Apple a lanzado los nuevos #iPhoneSE y bueno, son aparentemente más económicos pero aún son 2 palos wey, aunque po… https://t.co/e4CKcY8oC2"
Embi41,"Madrid y Albacete, España","¿Queréis saber todo sobre el nuevo #iPhoneSE? Por aquí un resumen:
https://t.co/QXNHFSpAy7"
Naguastech,,"Démosle la bienvenida al nuevo iPhone SE, con características similares al iPhone 11 Pro, el regreso del TouchID y… https://t.co/Unrh9bciDi"
datainfox,Ecuador,"#iPhoneSE 2020: así es el smartphone más asequible de Apple
https://t.co/Lno77MjFTl"
JonTorrenegra,Colombia,"Llego el momento de cambiar mi amado y viejo Iphone SE, por su segunda generación! 
https://t.co/86Y6CXUw3d
#iPhoneSE @Apple"
Lohar,Ciudad de México,"Sólo iPhone es capaz de lanzar un iPhone de 4.7 con Touch ID en pleno 2020. ¿Y saben algo? Va a ser un trancazo, ya… https://t.co/WcR4pAuOHO"
liderAndroide,,@MannyUceta Ya lo tengo mira 🥱 .... Pero tú dirás que no es un #iPhoneSE 2020 ....dirás qué es un iPhone 8 .... Ya… https://t.co/6wT2lOMRmt
KrunsPanchal,"Ahmadabad City, India","iPhone SE 2020
#iphonese #iphonese2 #iphone9 #shotoniphone #iphoneevent @ Ahmedabad, India https://t.co/nwKeLpOv3N"
serraldino,Ciudad de México,"Apple lanzó un nuevo iPhone SE, con el corazón del 11 Pro pero el cuerpo del 8. 
¿Quién, de verdad, va a querer com… https://t.co/Gag1rD0won"
pedrostmr,🌍🇪🇸,¿De dónde sacará Apple España los precios de sus productos? Porque haces el cambio a dollars y te da incluso más ca… https://t.co/FFfa0HXXSB
pedroriplis,"Badalona, Catalunya",Momento perfecto para cambiar de iPhone al #iPhoneSE
SweetDayiss,Estado de México,"Lo esperé mucho, pero creo que me está decepcionando la cámara #iPhoneSE https://t.co/mIkj5CVxCM"
aligrouphifi,Mexico City,"Apple lanza al mercado el renovado #iPhoneSE. El teléfono inteligente de precio más accesible con A13 Bionic, el ch… https://t.co/wGP1RTMdCm"
comar_torrijos,,"Que comprarían en este momento del 2020? 

#iphoneSE 
#iPhoneSE2020 
#xiaomi #RedmiNote9s"
__Stereotipo,"Distrito Federal, México",#apple recicla más modelos que ustedes a sus ex. #iPhoneSE
angeadz,Death Star,"Lo que me gusta del #iPhoneSE es el tamaño ❤️
https://t.co/GPXUF53QLz"
Ecomputer_,WALQA,"📣 #Apple acaba de lanzar el nuevo #iPhoneSE que une el chip más potente de la marca, el tamaño de iPhone más popula… https://t.co/VRrPYjITg4"
losconocedores,,Un poco de #tecnología Este es el nuevo #iPhoneSE 2020: imágenes y video https://t.co/jpRidV8v4V
fernanditoccs,Venezuela,@apple #apple #iPhoneSE #iphone en verdad relanzar el modelo 8 y que ellas personas paguen más de 400$ solo por el… https://t.co/tcBtdAZc3z
rewisormag,"Madrid, Comunidad de Madrid","El modelo más económico de la compañía de la manzana llegará en abril por un precio de 399$:

""Apple anuncia un nue… https://t.co/iiJRcYGkV4"
Andro_UY,Uruguay,"Oficial el nuevo iPhone SE 2020! 
Chip A13 del iPhone 11, el cuerpo de un iPhone 8, todo por USD 400!, un precio mu… https://t.co/6u39ZW4g3f"
Michoacaneando,,"Apple acaba de anunciar su nuevo #iPhoneSE, sin duda un digno rival para alcatel."
Santillanes,México,El nuevo #iPhoneSE llegará a los que lo compren en preventa en EU el 24 de abril https://t.co/NsROkpr8Ek
tykheideas,,"#Apple revela un nuevo #IphoneSE a $399 de manera inesperada

$AAPL -1.59% https://t.co/1ZQiB6vIq1"
Ktuin,España,"Nueva generación #iPhoneSE , seguro que ya os suena ese nombre⚡️
Un teléfono con especificaciones de iPhone 11 Pro… https://t.co/neYWYWJ30e"
AldoM_Gtz,"Querétaro,México",El nuevo #iPhoneSE es un iPhone 8 renovado pero teniendo menos variedad en colores pero que tiene la potencia de lo… https://t.co/6CL8I8My9o
TendenciasTech,"Minnesota, USA",#Tecnología - ¿Despertando? Apple acaba de presentar el #iPhoneSE ¿Qué te parece? #Noticias https://t.co/WWUzWPDsZx https://t.co/Ha1Of65qpz
Pacho_Bernate,"Bogotá, D.C., Colombia","#Apple lanza fundas de cuero y silicona para el nuevo #iPhoneSE, con un precio desde $ 35 dólares… https://t.co/cQfskf6f3T"
XatakaMexico,México,"En cuanto a precios del #iPhoneSE en 🇲🇽y 🇺🇸:

💾 64 GB 💸 10,999 pesos / 399 dólares
💾 128 GB 💸 11,999 pesos / 449 dó… https://t.co/WTPm2yQqjc"
XatakaMexico,México,"💥 El nuevo #iPhoneSE de Apple ya está aquí y éstas algunas de sus especificaciones:

📱 4.7 pulgadas (parece iPhone… https://t.co/PNUV35eEfU"
liderAndroide,,Aquí con mi nuevo #iPhoneSE 2020 🥱 pero ustedes todos como son unos envidiosos dirán que es un #iPhone 8 ya lo sé 😂🤣 https://t.co/s8LhUrgqwc
mudo_,"Derry, Maine",Urge el #iPhoneSE 2 en coppel pero ya!
grangerar,PARAGUAY,El nuevo Iphone SE 2. #apple #iPhoneSE https://t.co/lXVnULB8xS
AldoM_Gtz,"Querétaro,México",Pues todo se confirmado con @Apple con el nuevo #iPhoneSE que sigue siendo un iPhone 8 con muchas mejoras y que por… https://t.co/cNkZgWU6Wg
APPerlasMiguel,,"Pues ya lo tenemos aquí, el #iPhoneSE de 2020. Que os parece ?? A mi me fascina lo de “nuevo” 🤣🤣 #Apple #iOS… https://t.co/48y2xVTq4X"
pedroaznar,"Barcelona, España","Os prometo que acabamos antes de los aplausos ;)

#iPhoneSE is here! https://t.co/z2QdTziQUa"
ViaTecnologica,República Dominicana,"Quienes estaban a la espera de un iPhone asequible, aquí lo tienen ya: #Apple introdujo hoy la segunda generación d… https://t.co/biD7xG4iAj"
Vicente3232,Madrid,🙋‍♂️ GeekFlowers  ¡Ya está aquí el nuevo iPhone SE 2020! https://t.co/PYp2FPpUt1 Sígueme en mi IG 👉@geekflowers__… https://t.co/Lj23yH7TLp
Macworldes,,"¡El nuevo iPhone SE ya está aquí! Apple acaba de anunciar un nuevo iPhone de 4,7 pulgadas por 489 euros. Te contamo… https://t.co/8bwO7huPKj"
tecnotrenes,,"Apple lanza su móvil más esperado, el iPhone SE (2020): un smartphone compacto que llega con TouchID, procesador A1… https://t.co/FbZK964LqK"
rommelyg,"Lima, Perú",#iPhoneSE del 2020 regresa con su modelo tradicional: lector de huella y grandes bíseles. Si precio es de 399 dólar… https://t.co/Bo1Wh7zung
myychooh,"Guadalajara, Jalisco",Está hermoso en Rojo! #iPhoneSE https://t.co/XFz0TkKsCF
liderAndroide,,"#Apple saco del almacén todos los iPhone 8 que no vendieron en el 2017 y le cambiaron el nombre , ahora de llaman… https://t.co/hK8OFDhS9d"
ihatemygvel,,Oficial el #iphoneSE https://t.co/uJoQdRA60k
javielon95,,"Con el precio que tiene y el procesador que lleva es muy buena opcion, ya que comparte el mismo chip que los iPhone… https://t.co/ffDtlfAZ3a"
iShop_Mixup,Mexico,"Hoy #Apple anunció el lanzamiento del #iPhoneSE segunda generación, descúbrelo en iShop, ¡Muy Pronto! 

https://t.co/6A2oq9lg1k"
moshlsd,Villahermosa,El nuevo #iPhoneSE es una puta burla
danyeltinajero,México,"En mi opinión el #iPhoneSE es un gran teléfono. El chip es el más reciente, cumple con funciones y el precio es muy… https://t.co/0SHnp8pjvT"
Pacho_Bernate,"Bogotá, D.C., Colombia","Vídeo promocional de #Apple para el nuevo #iPhoneSE 

https://t.co/EC85SnYmGQ https://t.co/blE0N7jirc"
sopitasfm,CDMX,"Vayan rompiendo el cochinito porque Apple acaba de anunciar el nuevo #iPhoneSE y se ve espectacular 😍📱

https://t.co/3hHb1RC3Dy"
kikeSalazar__,,Mi espíritu fanboy quiere despertar. #Apple #iPhoneSE https://t.co/EDIjSS5fLO
mcabreraj,Madrid,"Ahhhh que el de 256gb vale 660 euros, que baratoooooo, pero es Apple dirían sus amantes. #camelogiageek… https://t.co/Edk6IK8AB6"
unocero,"México, D.F.","¡Paren todo! 

No podemos creer lo que costará el nuevo #iPhoneSE 

https://t.co/2exSDW8MFj"
CristoVQ,Las Palmas de Gran Canaria,"“Apple solo saca cosas para rico son muy c...” 
#iPhoneSE https://t.co/Oq1uPiOCcT"
mcabreraj,Madrid,"Ahh por cierto, diseño renovado! A no... Que es de hace varios años, 64gb 2 gb de ram y 500. Es APPLE!… https://t.co/Af86DQGkib"
danyeltinajero,México,Tenemos nuevo #iPhoneSE https://t.co/9gojhtNQUi
vivo247ok,Argentina,#Tecnología @Apple lanzó el nuevo #iPhoneSE 2020: más potente y económico. Imágenes y video https://t.co/uQCLawxEHi
vicneofigo,españa,"El nuevo iPhone SE 2020 va a ser el teléfono más vendido de Apple, es un precio de introducción al mundo Apple aún… https://t.co/8yTHle2k3H"
JuanantoGil,"Extremadura, España",Ya estoy comprando el nuevo #iphoneSE. Es para un amigo. 😅 https://t.co/wCUWXt0RNv
green__tech,,"Se viene se viene...
#iPhoneSE"
Eliudcmg,"Distrito Federal, México","Es oficial Apple lanza nuevo #iPhoneSE con un precio desde los $10,999 lo cual lo hace muy atractivo. 
• Carga inal… https://t.co/XKi6d7aPpq"
Verownika,Barcelona,Grabando vídeo y preparando sorteo para mis seguidores en Youtube😎 ¿Qué color queréis? #iPhoneSE #Verownika https://t.co/2bena4WgSh
NicoMerloCab,"San Francisco, Cba, Arg.",Muy cheto el nuevo #iPhoneSE 🤩
Vicente3232,Madrid,"🙋‍♂️ GeekFlowers  Ya está aquí el Nuevo #iPhoneSE 2020 https://t.co/q8rq5FpeyY
Sígueme en IG 👉@geekflowers__… https://t.co/aCWE2jsAk7"
DrVelasquez,Tegucigalpa,¿Ya vieron en nuevo y super económico #iPhoneSE ? @Apple https://t.co/yKfbrpQoET
audivampion,Ciudad de México,"Creo que el #iPhoneSE no vale la pena,a menos que de verdad te gusten los iPhone compactos... https://t.co/fHISrNUYJn"
Santillanes,México,Desde 10 999 pesos hasta 14 mil 499 los precios del nuevo #iPhoneSE https://t.co/wnNLoqkSoB
migunlocker,"ÜT: 10.69381,-71.600178","El nuevo iPhone SE anunciado para este 24 de abril que les parece ??
.
.
.
.
#Apple 
#iPhoneSE 
#Iphone https://t.co/ZJYMqBGcgo"
sopitas,Mexico,AH PRRO! Así es el nuevo #iPhoneSE y todas las novedades que trae 😲📱 https://t.co/dkaKCzGfb7
TECH_cetera,America,Con ustedes el (nuevo) #iPhoneSE https://t.co/xwI9Fd02tm
territorimac,Badalona - Copenhaguen,"📱😍 Nuevo #iPhoneSE de @Apple: Gran potencia a precio asequible.
https://t.co/MYYwGajVIh
#AppleFans https://t.co/gMwpzjH1vN"
ORamosBets,Telegram @Orbets ,"¿Pero que porquería es esta @apple? 

500€ por un móvil de regreso al pasado... el #iPhoneSE no tiene valor ninguno… https://t.co/GAUOC4cFkQ"
paaulmarcc,"Barcelona, España",La persona que haya hecho el artículo del #iPhoneSE2 #iPhoneSE se merece un ascenso @Apple https://t.co/GPAm271W5G
LucasRTito,"Rio de Janeiro, Brasil","iPhone SE - Específicos 

https://t.co/X1YaWLA5ef #Apple #iPhoneSE"
cesarsalza,"San Francisco, CA","El nuevo #iPhoneSE está aquí: 
📲 4.7 pulgadas 
💾 64, 128 y 256GB
📸 12 megapixeles: retrato y video 4K
🔋La del iPhon… https://t.co/6kSHF5iUMS"
juanjuez,"39.562067,2.623831","Esperaba que sacaran también una versión plus en este nuevo #iPhoneSE , pero aun todo me sigue pareciendo una opció… https://t.co/RpyIMwLLR3"
datogeek,Costa Rica,"#Apple presenta el #iPhoneSE 2020: procesador A13, múltiples colores y un precio rompedor https://t.co/0ym4MnfvNQ"
darling_lopez,,Iphone lanza la segunda generación del #iPhoneSE se llamará #iPhoneSE2 #iphonese2020 https://t.co/Dkkjfd3L2o
jordicolom98,Madrid - Barcelona - Mallorca,Mucho IPhone Por Menos ✨ #Apple #iPhoneSE #Developers https://t.co/8LAXV7cBng
esfera_iphone,Barcelona - España,"Apple presenta el nuevo #iPhoneSE, con chip A13, pantalla de 4,7”, Touch ID y grabación a 4K https://t.co/zoHz5aygn1"
iManuMX,México,"Algunas de las características del NUEVO iPhone SE 📲

Diseño de un iPhone 8 por fuera, cámara de un XR, potencia de… https://t.co/H7y84QpxWH"
XavierPoncho,SAN NICOLAS DE LOS GARZA NL,Ya salio el #iPhoneSE https://t.co/IC7RdOlU0M
applesfera,España,"Hoy, ¡Applesfera 🔴Live especial para hablar del nuevo #iPhoneSE! 

A las 19:00 (hora española peninsular), os esper… https://t.co/M3Oe8Tco7u"
albertoalvero,"Sevilla, España",📱🎉 Pues ya es oficial. Nuevo #iPhoneSE desde 489€. 🗓 Disponible a partir del 24 de Abril. https://t.co/TGHOefncLD https://t.co/i4qqC7rCmx
KrosmosTv,United States,"#iPHONESE ESTARA DISPONIBLE PRONTO‼️

✅ DESDE $399

✅ 4.7"" Retina Display

✅ A13 Bionic Chip

✅ 4k @ 30-fps

✅ Wire… https://t.co/uijFpdmmdq"
Enterados_pe,Lima,"Serán 3 colores, negro, blanco y (Product) RED. Además es resistente al agua y polvo. Lo podremos conseguir a parti… https://t.co/pecP9x4MFM"
Enterados_pe,Lima,Llega potenciado con un Chip A13 Bionic ya visto en el #iPhone11 y #iPhone11Pro. Pero la novedad es su cámara única… https://t.co/ZtwsFvfolH
Enterados_pe,Lima,Al fin lo conocemos!!! #Apple presenta el nuevo #iPhoneSE https://t.co/ScmQ5jqqc6
iAcidoTextual,Entiendan NO RESPONDO DM's,"Si el nuevo #iPhoneSE costara 400 dólares acá en Guatemala fijo lo venderán en unos 10,000 más con los precios altos de @iShopGuatemala"
limberlomeli,"20.563577,-103.325382","Ya salió el #iphoneSE2. Que, para @apple simplemente es, #iphoneSE. Solo viene con una cámara y 3 colores posterior… https://t.co/g2rFkmRU70"
GonzoMau,"Santiago, Chile",El viejo y querido #iPhoneSE vuelve a la vida: reencarna en el diseño del iPhone 8 pero tiene el procesador del iPh… https://t.co/VHI2yATnCG
iAcidoTextual,Entiendan NO RESPONDO DM's,Lo quiero pero URGENTE #iPhoneSE #Apple #iPhoneSE2 #iphonese2020 https://t.co/V7UIqqYTsk
AbrahamVelazqz,México D.F;,"3 colores #iPhoneSE 
Desde $399 dólares. ( en México yo creo desde 8,500 pesos ) https://t.co/dyNApkiddq"
comar_torrijos,,"Apple Lanza el nuevo iPhone 8.... oh perdón perdón, el iPhone SE.
.
.
#iPhoneSE #iphonese2020 https://t.co/Y6jnNmrTit"
Roberto_M_M_,Alcalá de Henares,Ya tenemos aquí el nuevo #iPhoneSE #iphonese2020 #iPhoneSE2 #iphone9 El iPhone con más nombres de la historia.  https://t.co/PJDGhUAdN2
erikAmaro6,,El nuevo #iPhoneSE es lo mismo que el iPhone 8 no me jodan 😑😑#Apple
Tutti_creeper,日本 北海道,"#iPhoneSE Product Environmental Report

https://t.co/G3lxNryV8W"
AbrahamVelazqz,México D.F;,"Oficial. Habemos iPhone SE #iPhoneSE 
📱 https://t.co/VDc9pgtMn9"
geekdegafas,España,Pero es que en USA los impuestos... YA. #iPhoneSE2020 #iPhoneSE https://t.co/2CscA0hM0E
RAINWAFT,,Pues Apple se la ha sacado con el nuevo #iPhoneSE. Apple entra de lleno y a por sangre contra la gama media-alta de android.
Novedades_Apple,México,"No se pero siento que ese iPhone ya lo eh visto antes, oh si se llamaba iPhone 8 

#iPhone #iphonese2020 #iPhoneSE… https://t.co/FMf8ijhaW0"
lmcaste,,Por fin ha merecido la espera después de tantos años! El nuevo Iphone SE ya está aqui! BIEEEN! 🎉 #iPhoneSE2… https://t.co/DCQSVw3Pdo
parentesis,México,Todos los detalles del nuevo #iPhoneSE: https://t.co/BqYgbTQhrU https://t.co/ADwMnUMx9w
Pacho_Bernate,"Bogotá, D.C., Colombia","#Apple dejó hoy vender el iPhone 8 y el iPhone 8 Plus después de anunciar el iPhone SE de segunda generación. 

El… https://t.co/nWn9IU19eH"
oscarhdez131,Veracruz. México ,#iPhoneSE con el Chip A13 Bionic del iPhone 11 Pro https://t.co/whuxHGKAJn
Carlos_Vassan,México,"Pero, mientras llega a México 👀

Ya tengo video nuevo hablando del #iPhoneSE 👀 

Todo lo que quieres saber y recien… https://t.co/tyYlpMzqOU"
Juanilloky,vitoria,"Para los que tengan un presupuesto más ajustado y quieran tener un iPhone con el último procesador, un tamaño ideal… https://t.co/jexQlYzfg8"
luisalanmz,,#Habemus nuevo #iPhoneSE https://t.co/yAnWHqKXSr
_oscarag,México DF,Este es el nuevo #iPhoneSE #iPhoneSE2 @Apple https://t.co/gMCdyRnmwu
manzanaticos,,"Ya ha llegado el Nuevo IPhone 📲 SE 

#apple #iPhoneSE https://t.co/Juckjmmith"
Estrategia_SMC,Alcalá de Henares,The new iPhone SE — Apple https://t.co/t5q2pfOBNZ vía @YouTube #iphonese2020 #iPhoneSE #iPhoneSE2
mr_josevicente,Cuba,"iPhone SE (2020) desde $399
@adrian_sendin embúllate y empieza a usar un teléfono de verdad jaja 

#iPhoneSE2… https://t.co/nmyJK4LHXE"
eureka_ec,Cuenca - Ecuador,"A pesar del aislamiento a nivel mundial, Apple ha lanzado un nuevo dispositivo... el nuevo #iPhoneSE 

https://t.co/x9F6accRJT"
OhMyGeek,Ciberespacio,Se los dijimos. Apple presentó el nuevo #iPhoneSE (2020) y costará desde $399 USD en Estados Unidos a partir de est… https://t.co/hIw1TVep2s
ChinoEnPedales,Despeñaperros,"Es oficial, en la página de Apple, el #iPhoneSE ha reemplazado al #iPhone8"
Apperlas,,Ya está aquí el nuevo #iPhoneSE  a partir de 489€ https://t.co/Ym0YakkGWh
manu_tech,"Sto. Dgo., Dominican Republic","El nuevo #AppleiPhoneSE es oficial!
US$400 😮

#Apple
#iPhone
#iPhoneSE
#iPhoneSE2020 https://t.co/rCNsFEmFYW"
parentesis,México,¿Despertando? Apple acaba de presentar el #iPhoneSE ¿Qué te parece? https://t.co/kn16hOBJEa
RitchieArgueta,,"#Apple lanza el #iPhoneSE 2020 😱
* Pantalla de 4,7 pulgadas 📱
* A partir de 64G de almacenamiento 🥰
* Chip A13 😎
*… https://t.co/16rAWCtfyW"
MaykisWorld,"Barcelona, España",Habemus #iPhoneSE ‼️ que comience la fiesta 🎉 https://t.co/2P2f7zzZg9
XavierCamps,Barcelona,Pues ya tenemos nuevo #iPhoneSE https://t.co/3Gc9WENvmn
TechRadarES,United States,Éste es el nuevo #Apple #iPhone: el #iPhoneSE https://t.co/IzRDz0XX2v
Miguel_h91,Entre Almería y Madrid,"Aquí toda la información sobre el nuevo #iPhoneSE (2020) desde 489 euros, un precio bastante interesante teniendo e… https://t.co/dYZHSZD6W6"
iManuMX,México,"🔴 Colores, Capcidades y Precios del NUEVO #iPhoneSE 

México 🇲🇽 (primera imagen)

USA 🇺🇸 (segunda imagen) https://t.co/u5WGOhQTtm"
Josesesteaga,"Arizona, USA","El #iPhoneSE te saluda @Mimacmx 👋 😂😂😂 yo lo dije, 399 dls un excelente precio para el mercado. #Apple… https://t.co/bQhkyhfB3U"
OneThingApple,,Actualizado con los precios de España #Apple #iPhone #iPhoneSE
PTaracido,España,Primer lanzamiento de un nuevo iPhone con las tiendas cerradas....a ver que tal resulta el experimento #iPhoneSE https://t.co/lSC0LrEf7z
tecnofanatico,,"Ya se encuentra en la tienda de Apple la información del iPhone SE a un valor de $399 dólares, listo para pre-orden… https://t.co/VRmfXpFDfp"
isupertecgaming,,Ya salió el nuevo #iPhoneSE https://t.co/P2pBXKD0mG
RitchieArgueta,,#Apple ha lanzado el nuevo #iPhoneSE que tal te ha parecido? 😱❤️ https://t.co/5I22jznkSk
elvortice_,España,"Apple desvela el nuevo #iphoneSe con el mismo diseño que el iPhone 8 desde 399 euros. 

• Pantalla 4.7” LCD 
• A13… https://t.co/oNXd3Q0lBU"
Santillanes,México,"El nuevo #iPhoneSE llega en tres colores : negro, blanco y RED https://t.co/bvueoWXjgi"
augeintl,"Miami, FL","Y salió a la venta el nuevo #iPhoneSE en 3 colores y su precio es de 399$ 
#Apple 
#iPhoneSE2 

Qué les parece ? https://t.co/yPPjxulUVs"
Carlos_Vassan,México,"Si es oficial, no fue un rumor solamente. #iPhoneSE es oficial y llegará pronto a México

Precio la versión inicial… https://t.co/TeQnQk1RpX"
RickyFernandezR,IG: @RickyFernandez.es,"Al final mi aportación no relevante era certera :) 

Ahora sí, #iPhoneSE https://t.co/aqbDF7UUw7 https://t.co/T5O98iw1fw"
gescol,United States📍| El Salvador,"Es oficial!! Apple lanza la segunda generación del iPhone SE.
4.7"" Retina HD display
A13 Bionic chip
Una cámara de… https://t.co/UUlQc5rInf"
tectoccr,"San José, Costa Rica",Y es oficial @Apple lanzó el #iPhoneSE https://t.co/MgQ38qKSs7 #iphoneSE2 #iphpnese2020
SoyEduSanchez,🔴 Mis otras redes ▶▶,"iPhone SE (2020)

• Diseño de iPhone 8  
• Pantalla  LCD 4.7”
• Cjip A13 Bionic
• Cámara de 12MP 
• Negro, Rojo, Bl… https://t.co/QQR5wd7t31"
Santillanes,México,"Este es el nuevo #iPhoneSE pantalla de 4,7 pulgadas con A13 Bionic costará 399 dólares https://t.co/Jwuk2gokFx"
OscarKhima_,"Community of Madrid, Spain","Apple desvela el nuevo #iphoneSe con el mismo diseño que el iPhone 8 desde 399 dólares en Estados Unidos. 

• Panta… https://t.co/sUU9yiXHzA"
Embi41,"Madrid y Albacete, España","Me encanta lo limpio que es el diseño trasero... ¡Y se mantiene Touch ID! 🙄 #iPhoneSE
https://t.co/D30veq13sC"
Viatea,prensa@viatea.es,Apple presenta el nuevo iPhone SE por tan solo 399$ con el A13 Bionic. #iPhoneSE #Apple https://t.co/rHG0fbluT9
TechAholicsPod,,"iPhone SE (2020)

• Diseño de iPhone 8  
• 4.7” LCD Display
• A13 Bionic chip 
• Cámara de 12MP 
• Negro, Rojo, Bla… https://t.co/Llnf0sdhbY"
TechAholicsPod,,"Es oficial, aqui el iPhone SE 2020 #iPhoneSE https://t.co/yjZ2s8cZfH"
ErichGarciaCruz,La Habana - Cuba,"Demoró, pero ya es ""oficial""

#iPhoneSE #iphonese2020 https://t.co/YBWgfBAq6o"
miopiniontech,United States,Apple a lanzar online el iPhone SE 2020 esta semana INFO: https://t.co/P6JyJCJlr2 #iPhoneSE #Apple #iPhoneSE2020 https://t.co/mQKxVFlydy
ClaudioStoduto,Torino,"Sono pronto con la carta 😜 

#iPhoneSE"
iManuMX,México,"El iPhone 9/SE 2 sale en 1 hora. Listos? 📲🔥💥

Antes solo se filtraban los modelos, ahora hasta la hora en la que va… https://t.co/IAZxg4la7Q"
JuanantoGil,"Extremadura, España",Las y los seguidores de Apple y de medios esperando el lanzamiento del #iPhoneSE de 2020. 😁 https://t.co/FT5iunO54w
Verownika,Barcelona,Yo digo que será a las 18h 😏 #iPhone9 #iPhoneSE https://t.co/hhzYUGOu30
TechAholicsPod,,"Muchos se preguntan cuándo Apple lanze hoy el nuevo #iPhone, los comunicados de prensa han salido históricamente a… https://t.co/DNpyaTzOky"
iManuMX,México,"Buenos días! ☀️ Ya listo para traerles toda la información del supuesto lanzamiento del iPhone 9/SE 2020 

Sígueme… https://t.co/8709D6kQ5q"
TechRadarES,United States,"Se supone que hoy es el día en el que sale el #Apple #iPhoneSE, también llamado #iPhone9. Así que atentos https://t.co/RobWtvqKjN"
JuanantoGil,"Extremadura, España","Al contrario, pinchad y leed porque os gustará el contenido de @LaMMordida. Y más hoy, que podríamos conocer el pró… https://t.co/t84DiQ7GNA"
RitchieArgueta,,Crees que #Apple saque a la venta el reconocido #iPhoneSE hoy? 😱📱Concept by @9techeleven https://t.co/PucEGHyFIA
iManuMX,México,"Mañana, iPhone 9/SE 2020? 🤔👀

#iPhone9 #iPhoneSE2 #iPhoneSE #iPhoneSE2020"
Carlos_Vassan,México,"Según varios medios, mañana #Apple presentará un nuevo #iPhoneSE a.k.a. #iPhone9 

Que dicen ¿Lo traigo al canal? 😜 https://t.co/8KTgdG5jiI"
HOWARD_GONZALEZ,Caracas-Venezuela,Tutorial: Cómo Configurar y Modificar el Cursor del iPad con un Mouse o TrackPad - Pasos y Funciones #Apple #iPad… https://t.co/OcwwKuTQy0
icanarymac,"Las Palmas, Islas Canarias","Habrá mañana el lanzamiento del Iphone SE 2020????? Que opinan???. Leo vuestros comentarios.
#iPhoneSE #apple"
Lukorcom,Granada,"#Google Pixel 4a, un fracaso antes de salir al mercado
https://t.co/ibBQ4uPj1t
#Lukor #GooglesPixel4a #IPhoneSE… https://t.co/SvGUGZ0YRs"
iManuMX,México,"💥 ATENCIÓN!! Estoy contestando muchas de sus preguntas del iPhone 9/SE/SE 2020 📱

En mis historias de Instagram:… https://t.co/vuayjsTkoP"
iManuMX,México,"Buenooos días ☀️

Ya listos para el iPhone 9/SE/SE 2/SE 2020 ???? 📲🤔

 #iPhone9 #iPhoneSE #iPhoneSE2 #iphonese2020 https://t.co/AlUgN6svTK"
TechRadarES,United States,"Este mismo miércoles tendremos #iPhone #barato: #iPhoneSE
#iphone9 #iPhoneSE2020 por sólo $399, dicen las buenas le… https://t.co/5k5LNIqOlo"
blodico,,"Siguiendo el rastro del iPhone SE (2020), esto es todo lo que sabemos hasta ahora #Rumorsfera #IPhoneSE https://t.co/DFO5YtSN49 #followme"
iManuMX,México,"💥 Filtración EXCLUSIVA: 

El iPhone 9/iPhone SE 2020 podría incluir la misma cámara que el iPhone XR 📱📸

#iPhone9… https://t.co/9pWYxnLknB"
skarabaja,,"Alguien sabe si la pantalla tiene arreglo? O por qué se puso así?

#iPhone  #iPhoneSE #AYUDA https://t.co/uQvBQhYJpq"
MaykisWorld,"Barcelona, España","No te pierdas la charla de @MacVega31 y @Verownika ‼️ #iphone12pro #AirPodsX #iPhoneSE 
👇🏻👇🏻
Charla con Verownika:… https://t.co/z8GSZat3FY"
iManuMX,México,"Los días de entrega del iPhone 8 se han alargado ⏰ 

¿Esto significa iPhone 9 (SE 2) a la vista? 👀🔥

A la derecha c… https://t.co/oc9Ljq3kL8"
iManuMX,México,"Buenos días! 👋🏼 

Faltan 5 días pra conocer si esto es real 📲

Posible fecha de lanzamiento: 14-15 de Abril.… https://t.co/hpnFF9pxuk"
TechRadarES,United States,"23 de abril. 1 de mayo. 7 de julio San Fermín. ¿Cuándo saldrá el nuevo #Apple #iPhone #barato, #iPhoneSE 2020 o… https://t.co/KDDM6RueSZ"
elgafaspodcast,,"📣 Nuevo Podcast! ""iPhone SE 2020"" en @Spreaker #coronavirus #covid_19 #iphone #iphonese #quedateencasa #todoirabien https://t.co/JwhHkCVfBT"
